Station,Postcode,Latitude,Longitude,TLC,NLC,Owner,Entries and exits 2024, Interchanges 2024
Birchington-On-Sea,CT7 9RD,51.3774886896266,1.3014083545974,BCH,5163,Southeastern,340838,0
Birchwood,WA3 7PU,53.4127205850305,-2.5253082468513,BWD,2304,Northern Trains,372320,0
Birkbeck,BR3 4TA,51.4038899816034,-0.0557387405611835,BIK,5401,Govia Thameslink Railway (Southern),82390,0
Birkdale,PR8 4AF,53.6340528065899,-3.01445011129132,BDL,2352,Merseyrail,1026910,0
Birkenhead Central,CH41 9DB,53.3883166263867,-3.02082115838918,BKC,2217,Merseyrail,651336,0
Birkenhead Hamilton Square,CH41 1AL,53.3946967251861,-3.01368016573114,BKQ,2219,Merseyrail,1394148,378536
Birkenhead North,CH41 7AZ,53.4044379353974,-3.05753365912751,BKN,2145,Merseyrail,985472,80816
Birkenhead Park,CH41 8BT,53.3974085855031,-3.03910128885113,BKP,2220,Merseyrail,630922,0
Birmingham International,B40 1PA,52.4508081112451,-1.72585685988124,BHI,1215,Avanti West Coast,4680188,213340
Birmingham Moor Street,B4 7UL,52.479080623723,-1.89247273057604,BMO,4515,Chiltern Railways,6416708,400786
Birmingham New Street,B2 4QA,52.4778198092097,-1.9002055706822,BHM,1127,Network Rail,33335376,5107139
Birmingham Snow Hill,B3 2BJ,52.4833566780576,-1.89908868312646,BSW,1006,West Midlands Trains (West Midlands Railway),2851220,269172
